,,Election,Comm,issio,n,of Ind,ia - Gener,a,"l Elections, 1957 (2nd",LOK,SABHA),,,,
,,,,,,,,,,,,,,,
,,VO,TES,P,O,LL,ED I,,N STATES,BY,PARTI,ES,,,
,,,,,,,,,,,,,,,
,,,,,,,,,SEATS,,,V,OTES %,OF,
,,"STATE/UT,",NO O,F,,,,,CONT-,,SEATS FD,IN P,OLLED V,OTES,
,,CONSTITUEN,CIES,,,PART,Y,,ESTED RETIR,ED,WON SEA,TS BY,PARTY P,OLLED,
pur,,(,Single Member :,2 Double,Member :,),,,,,,,,,
,,,,,,,,,,,,,,,
,,,CPI,1,,0,0,,19298,11.09%,,,,,
,,,,,,,,,,,,,,,
,,,INC,2,,1,0,,48687,27.97%,,,,,
,,,,,,,,,,,,,,,
,,,PSP,2,,0,2,,12692,7.29%,,,,,
,,,,,,,,,,,,,,,
,,,IND,6,,1,3,,93414,53.66%,,,,,
,,,,,,,,,,,,,,,
"s, Seats","Won,",,"FD in Seats, Valid V",otes) 11,,2,5,,174091,,,,,,
,,,,,,,,,,,,,,,
ura,,(,Single Member :,Double,Member :,1 ),,,,,,,,,
,,,,,,,,,,,,,,,
,,,CPI,2,,1,0,,248422,45.14%,,,,,
,,,,,,,,,,,,,,,
,,,INC,2,,1,0,,253241,46.02%,,,,,
,,,,,,,,,,,,,,,
,,,IND,3,,0,3,,48675,8.84%,,,,,
,,,,,,,,,,,,,,,
"s, Seats","Won,",,"FD in Seats, Valid V",otes) 7,,2,3,,550338,,,,,,
,,,,,,,,,,,,,,,
,Gra,n,d Total :,1519,75,494,494,,120513915,,,,,,
,,,,,,,,,,,,,,,
Parties -,Page,4,of 4),,,,,4,5,,,,,,
