Election,"Commission of India - General Elections,",1996(11th LOK,SABHA),,,,,,,,
,,,,,,,,,,,
VOTES P,OLLED IN STAT,ES BY,PAR,TIES,,,,,,,
,,,,,,,,,,,
"STATE/UT,",,SEATS,,,VOTES,% OF,,,,,
NUMBER OF P,ARTY PARTY,CONT- SE,ATS F,D IN P,OLLED,VOTES,,,,,
CONSTITUENCIES,TYPE,ESTED W,ON SE,ATS BY,PARTY,POLLED,,,,,
,,,,,,,,,,,
1,2 3,4,5,6,7,8,,,,,
,,,,,,,,,,,
NDHRA PRADESH,42,,,,,,,,,,
,,,,,,,,,,,
"ELECTIONS - INDIA, 1996",,,VOT,ES,POLLED IN ST,ATES BY,PARTIES,,,,
,,,,,,,,,,,
"STATE/UT,",,,SEATS,,,VOTES,% OF,,,,
NUMBER OF PAR,TY,PARTY,CONT- SE,ATS,FD IN P,OLLED,VOTES,,,,
CONSTITUENCIES TY,PE,,ESTED W,ON,SEATS BY,PARTY,POLLED,,,,
,,,,,,,,,,,
1,2,3,4,5,6,7,8,,,,
,,,,,,,,,,,
ADHYA PRADESH 4,0,,,,,,,,,,
,,,,,,,,,,,
,U,MPVC,1,1,0,337539,1.47%,,,,
,,,,,,,,,,,
,U,PSSS,2,0,2,830,0.00%,,,,
,,,,,,,,,,,
,U,RMEP,1,0,1,285,0.00%,,,,
,,,,,,,,,,,
,U,RPI,3,0,3,12986,0.06%,,,,
,,,,,,,,,,,
,U,RPI(A),1,0,1,22640,0.10%,,,,
,,,,,,,,,,,
,U,RPI(D),1,0,1,10072,0.04%,,,,
,,,,,,,,,,,
,U,RPI(KH),1,0,1,4673,0.02%,,,,
,,,,,,,,,,,
,U,RSPP,1,0,1,2682,0.01%,,,,
,,,,,,,,,,,
,U,SDP(MP),3,0,3,1327,0.01%,,,,
,,,,,,,,,,,
,U,SLP(L),1,0,1,1934,0.01%,,,,
,,,,,,,,,,,
,U,SVSP,2,0,2,84725,0.37%,,,,
,,,,,,,,,,,
,Z,IND,1046,1,1045,2194115,9.57%,,,,
,,,,,,,,,,,
"State/UT total (Contestants, Seats W","on, F","D in Seats, Valid Votes) :",1259,40,1173,22924872,,,,,
,,,,,,,,,,,
MAHARASHTRA 4,8,,,,,,,,,,
,,,,,,,,,,,
,N,AIIC(T),33,0,33,87982,0.31%,,,,
,,,,,,,,,,,
,N,BJP,25,18,0,6184428,21.81%,,,,
,,,,,,,,,,,
,N,CPI,3,0,2,173934,0.61%,,,,
,,,,,,,,,,,
,N,CPM,3,0,2,311070,1.10%,,,,
,,,,,,,,,,,
,N,INC,48,15,0,9864853,34.78%,,,,
,,,,,,,,,,,
,N,JD,12,0,7,936857,3.30%,,,,
,,,,,,,,,,,
,N,JP,17,0,17,227214,0.80%,,,,
,,,,,,,,,,,
,N,SAP,7,0,7,12786,0.05%,,,,
,,,,,,,,,,,
,S,BSP,6,0,6,82633,0.29%,,,,
,,,,,,,,,,,
,S,ICS,7,0,7,23933,0.08%,,,,
,,,,,,,,,,,
,S,SHS,20,15,0,4772419,16.83%,,,,
,,,,,,,,,,,
,S,SP,7,0,5,583410,2.06%,,,,
,,,,,,,,,,,
,U,ABBNS,6,0,6,30970,0.11%,,,,
,,,,,,,,,,,
,U,BBM,4,0,3,329695,1.16%,,,,
,,,,,,,,,,,
,U,BKS,1,0,1,1439,0.01%,,,,
,,,,,,,,,,,
,U,BMSM,8,0,8,7223,0.03%,,,,
,,,,,,,,,,,
,U,BPI,2,0,2,4071,0.01%,,,,
,,,,,,,,,,,
,U,BRC,1,0,1,1967,0.01%,,,,
,,,,,,,,,,,
,U,COP,1,0,1,1850,0.01%,,,,
,,,,,,,,,,,
,U,HJP,2,0,2,9208,0.03%,,,,
,,,,,,,,,,,
,U,IUML,1,0,1,199,0.00%,,,,
,,,,,,,,,,,
,U,MPKP,1,0,1,5765,0.02%,,,,
,,,,,,,,,,,
,U,NRP,1,0,1,5271,0.02%,,,,
,,,,,,,,,,,
,U,NVAS,2,0,2,66065,0.23%,,,,
,,,,,,,,,,,
,U,PDLI,1,0,1,1276,0.00%,,,,
,,,,,,,,,,,
,U,PHK,2,0,2,21356,0.08%,,,,
,,,,,,,,,,,
,U,PPNMS,3,0,3,4771,0.02%,,,,
"ELECTIONS - INDIA, 1",996,,,,,,VOT,ES,POLLED IN ST,ATES BY,PARTIES
,,,,,,,,,,,
"STATE/UT,",,,,,,,SEATS,,,VOTES,% OF
NUMBER OF,PAR,TY,PARTY,,,,CONT- SE,ATS,FD IN P,OLLED,VOTES
CONSTITUENCIES,T,YPE,,,,,ESTED W,ON,SEATS BY,PARTY,POLLED
,,,,,,,,,,,
1,,2,3,,,,4,5,6,7,8
,,,,,,,,,,,
MAHARASHTRA,,48,,,,,,,,,
,,,,,,,,,,,
,,U,PWPI,,,,4,0,2,437805,1.54%
,,,,,,,,,,,
,,U,RPI,,,,11,0,3,1394549,4.92%
,,,,,,,,,,,
,,U,RPI(KH),,,,1,0,1,2118,0.01%
,,,,,,,,,,,
,,U,RPPI,,,,2,0,2,7298,0.03%
,,,,,,,,,,,
,,U,SBHP,,,,1,0,1,470,0.00%
,,,,,,,,,,,
,,U,SHSP,,,,1,0,1,717,0.00%
