"STATE/UT,",,,,,,,SEATS,,,VOTES,% OF,,
NUMBER OF,PAR,TY,PARTY,,,,CONT- SE,ATS FD,IN P,OLLED,VOTES,,
CONSTITUENCIES,T,YPE,,,,,ESTED W,ON SE,ATS BY,PARTY,POLLED,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,11,2,7,830595,,,
,,,,,,,,,,,,,
UTTAR PRADESH,,85,,,,,,,,,,,
,,,,,,,,,,,,,
,,N,CPI,,,,5,1,0,462392,1.63%,,
,,,,,,,,,,,,,
,,N,CPM,,,,1,0,1,26718,0.09%,,
,,,,,,,,,,,,,
,,N,INC(I),,,,85,51,1,10171194,35.90%,,
,,,,,,,,,,,,,
,,N,INC(U),,,,35,0,34,425277,1.50%,,
,,,,,,,,,,,,,
,,N,JNP,,,,85,3,11,6394164,22.57%,,
,,,,,,,,,,,,,
,,N,JNP(S),,,,79,29,8,8219838,29.02%,,
,,,,,,,,,,,,,
,,S,FBL,,,,9,0,9,21060,0.07%,,
,,,,,,,,,,,,,
,,S,RSP,,,,3,0,3,28332,0.10%,,
,,,,,,,,,,,,,
,,U,BSP,,,,3,0,3,7000,0.02%,,
,,,,,,,,,,,,,
,,U,MUM,,,,4,0,4,26363,0.09%,,
,,,,,,,,,,,,,
,,U,RPK,,,,11,0,11,46225,0.16%,,
,,,,,,,,,,,,,
,,U,RRP,,,,8,0,8,26986,0.10%,,
,,,,,,,,,,,,,
,,U,SSD,,,,3,0,3,18809,0.07%,,
,,,,,,,,,,,,,
,,U,SUC,,,,1,0,1,2558,0.01%,,
,,,,,,,,,,,,,
,,Z,IND,,,,673,1,671,2452079,8.66%,,
,,,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,1005,85,768,28328995,,,
,,,,,,,,,,,,,
WEST BENGAL,,42,,,,,,,,,,,
,,,,,,,,,,,,,
,,N,CPI,,,,3,3,0,878793,4.28%,,
,,,,,,,,,,,,,
,,N,CPM,,,,31,28,0,8199926,39.91%,,
,,,,,,,,,,,,,
,,N,INC(I),,,,41,4,0,7500578,36.51%,,
"ELECTIONS - INDIA, 1",980,,,,,,VOT,ES,POLLED IN ST,ATES BY,PARTIES,,
,,,,,,,,,,,,,
"STATE/UT,",,,,,,,SEATS,,,VOTES,% OF,,
NUMBER OF,PAR,TY,PARTY,,,,CONT- SE,ATS,FD IN P,OLLED,VOTES,,
CONSTITUENCIES,T,YPE,,,,,ESTED W,ON,SEATS BY,PARTY,POLLED,,
,,,,,,,,,,,,,
1,,2,3,,,,4,5,6,7,8,,
,,,,,,,,,,,,,
WEST BENGAL,,42,,,,,,,,,,,
,,,,,,,,,,,,,
