,,Election Co,mmission,,of India -,General E,"lections, 1951 (",1st,LOK S,ABH,A),,,,,
,,,,,,,,,,,,,,,,
,,VOTE,S PO,,LLE,D IN,STATE,S,BY,PA,R,TIES,,,,
,,,,,,,,,,,,,,,,
,,,,,,,SEATS,,,,V,OTES %,OF,,,
,,"STATE/UT, NO",OF,,,,CONT- SEA,TS,FD,IN,P,OLLED V,OTES,,,
,,CONSTITUENC,IES,P,ARTY,,ESTED WO,N,SEA,TS,BY,PARTY P,OLLED,,,
,,,,,,,,,,,,,,,,
,,Myso,re 9,,(,Single Me,mber,:,7 Double M,ember,:,2,),,,
,,,,,,,,,,,,,,,,
,,,,,,BJS,,,4,0,,4,,,117470,4.16%
,,,,,,,,,,,,,,,,
,,,,,,CPI,,,1,0,,0,,,73322,2.60%
,,,,,,,,,,,,,,,,
,,,,,,INC,,,11,10,,0,,,1509075,53.43%
,,,,,,,,,,,,,,,,
,,,,,,KMPP,,,9,1,,2,,,650658,23.04%
,,,,,,,,,,,,,,,,
,,,,,,SP,,,4,0,,1,,,181430,6.42%
,,,,,,,,,,,,,,,,
,,,,,,IND,,,8,0,,5,,,292472,10.36%
,,,,,,,,,,,,,,,,
State/UT,total,"(Contestants,",Seats,"Won, F",D,"in Seats,",Valid,Vot,es) 37,11,,12,,,2824427,
,,,,,,,,,,,,,,,,
Pati,ala A,nd East Punj,ab 4,,(,Single Me,mber,:,3 Double M,ember,:,1,),,,
,,States Uni,on,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,BJS,,,2,0,,2,,,43349,2.94%
,,,,,,,,,,,,,,,,
,,,,,,FBL(MG),,,1,0,,1,,,31081,2.11%
,,,,,,,,,,,,,,,,
,,,,,,INC,,,5,2,,0,,,492408,33.38%
,,,,,,,,,,,,,,,,
,,,,,,KMPP,,,2,0,,2,,,39749,2.69%
,,,,,,,,,,,,,,,,
,,,,,,RCPI,,,1,0,,0,,,41030,2.78%
,,,,,,,,,,,,,,,,
,,,,,,SP,,,1,0,,1,,,38222,2.59%
,,,,,,,,,,,,,,,,
,,,,,,SAD,,,3,2,,0,,,477638,32.38%
,,,,,,,,,,,,,,,,
,,,,,,IND,,,16,1,,14,,,311635,21.13%
,,,,,,,,,,,,,,,,
State/UT,total,"(Contestants,",Seats,"Won, F",D,"in Seats,",Valid,Vot,es) 31,5,,20,,,1475112,
,,,,,,,,,,,,,,,,
