Election Comm,issio,"n of India - General Elections,",1971 (5th LOK,SABHA),,,,,,,
,,,,,,,,,,,
VOTES PO,LL,ED IN STAT,ES BY,PART,IES,,,,,,
,,,,,,,,,,,
"STATE/UT,",,,SEATS,,,VOTES,% OF,,,,
NUMBER OF PAR,TY,PARTY,CONT- SE,ATS FD,IN P,OLLED,VOTES,,,,
CONSTITUENCIES TY,PE,,ESTED W,ON SEA,TS BY,PARTY,POLLED,,,,
,,,,,,,,,,,
1,2,3,4,5,6,7,8,,,,
,,,,,,,,,,,
Andhra Pradesh 4,1,,,,,,,,,,
,,,,,,,,,,,
West Bengal,4,0,,,,,,,,,
,,,,,,,,,,,
,,N,PSP,,,,3,1,2,169119,1.29%
,,,,,,,,,,,
,,N,SSP,,,,4,0,4,112189,0.86%
,,,,,,,,,,,
,,S,BAC,,,,14,1,12,518781,3.97%
,,,,,,,,,,,
,,S,FBL,,,,10,0,8,353179,2.70%
,,,,,,,,,,,
,,S,RSP,,,,5,1,3,266186,2.04%
,,,,,,,,,,,
,,U,HMS,,,,1,0,1,9755,0.07%
,,,,,,,,,,,
,,U,IGL,,,,1,0,0,72131,0.55%
,,,,,,,,,,,
,,U,JKP,,,,2,0,2,63477,0.49%
,,,,,,,,,,,
,,U,LSS,,,,2,0,1,62527,0.48%
,,,,,,,,,,,
,,U,SUC,,,,3,0,2,113140,0.87%
,,,,,,,,,,,
,,Z,IND,,,,28,1,23,756659,5.79%
,,,,,,,,,,,
"tate/UT total (Contestants,",Seats W,"on, F","D in Seats,",Valid,Votes),:,195,40,100,13078348,
,,,,,,,,,,,
Himachal Pradesh,,4,,,,,,,,,
,,,,,,,,,,,
,,N,BJS,,,,2,0,1,72542,10.64%
,,,,,,,,,,,
,,N,CPI,,,,1,0,1,11249,1.65%
,,,,,,,,,,,
,,N,INC,,,,4,4,0,516959,75.79%
,,,,,,,,,,,
,,N,NCO,,,,3,0,3,20342,2.98%
,,,,,,,,,,,
,,N,SWA,,,,1,0,1,5767,0.85%
,,,,,,,,,,,
,,U,LRP,,,,2,0,2,34070,5.00%
,,,,,,,,,,,
,,Z,IND,,,,7,0,7,21133,3.10%
,,,,,,,,,,,
"tate/UT total (Contestants,",Seats W,"on, F","D in Seats,",Valid,Votes),:,20,4,15,682062,
,,,,,,,,,,,
A And N Islands,,1,,,,,,,,,
,,,,,,,,,,,
,,N,INC,,,,1,1,0,27373,61.48%
,,,,,,,,,,,
,,Z,IND,,,,4,0,3,17152,38.52%
,,,,,,,,,,,
"tate/UT total (Contestants,",Seats W,"on, F","D in Seats,",Valid,Votes),:,5,1,3,44525,
,,,,,,,,,,,
Chandigarh,,1,,,,,,,,,
,,,,,,,,,,,
,,N,BJS,,,,1,0,0,16854,23.31%
,,,,,,,,,,,
,,N,INC,,,,1,1,0,48335,66.85%
,,,,,,,,,,,
,,S,VHP,,,,1,0,1,153,0.21%
,,,,,,,,,,,
,,Z,IND,,,,8,0,8,6960,9.63%
,,,,,,,,,,,
"tate/UT total (Contestants,",Seats W,"on, F","D in Seats,",Valid,Votes),:,11,1,9,72302,
,,,,,,,,,,,
D And N Haveli,,1,,,,,,,,,
,,,,,,,,,,,
,,N,CPM,,,,1,0,0,6036,27.87%
,,,,,,,,,,,
,,N,INC,,,,1,1,0,8484,39.17%
,,,,,,,,,,,
,,N,NCO,,,,1,0,0,7138,32.96%
,,,,,,,,,,,
"tate/UT total (Contestants,",Seats W,"on, F","D in Seats,",Valid,Votes),:,3,1,0,21658,
,,,,,,,,,,,
Delhi,,7,,,,,,,,,
,,,,,,,,,,,
