El,ection,Commission of,India - Gen,eral Elections,", 1962 (3rd",LOK SAB,HA),,,,
,,,,,,,,,,,
VOTES PO,LL,ED IN S,TAT,ES BY,PART,IES,,,,,
,,,,,,,,,,,
"STATE/UT,",,,,SEATS,,,VOTES %,OF,,,
NUMBER OF,,PARTY,,CONT- SE,ATS FD,IN P,OLLED VO,TES,,,
CONSTITUENCIES,,,,ESTED W,ON SEA,TS BY,PARTY POL,LED,,,
,,,,,,,,,,,
1,,2,,3,4 5,,6,7,,,
,,,,,,,,,,,
Andhra Pradesh,43,,,,,,,,,,
,,,,,,,,,,,
State/UT,total,"(Contestants, Se",ats Wo,"n, FD in","Seats,",Valid Vote,s) : 11,4,3,242908,
,,,,,,,,,,,
,,Manipur,2,,,,,,,,
,,,,,,,,,,,
,,,,CPI,,,1,0,1,21503,8.13%
,,,,,,,,,,,
,,,,INC,,,2,1,0,81860,30.93%
,,,,,,,,,,,
,,,,PSP,,,1,0,1,10909,4.12%
,,,,,,,,,,,
,,,,SOC,,,2,1,0,69586,26.30%
,,,,,,,,,,,
,,,,IND,,,5,0,5,80769,30.52%
,,,,,,,,,,,
State/UT,total,"(Contestants, Se",ats Wo,"n, FD in","Seats,",Valid Vote,s) : 11,2,7,264627,
,,,,,,,,,,,
,,Tripura,2,,,,,,,,
,,,,,,,,,,,
,,,,CPI,,,2,2,0,163623,51.28%
,,,,,,,,,,,
,,,,INC,,,2,0,0,136586,42.81%
,,,,,,,,,,,
,,,,PSP,,,1,0,1,6302,1.98%
,,,,,,,,,,,
,,,,EIT,,,2,0,2,12574,3.94%
,,,,,,,,,,,
State/UT,total,"(Contestants, Se",ats Wo,"n, FD in","Seats,",Valid Vote,s) : 7,2,3,319085,
,,,,,,,,,,,
,,Gran,d Tota,l :,,,1985,494,856,115168890,
,,,,,,,,,,,
ledinState,s/UTs,byParties - Page 5,of 5),,,,,,,75,
