"STATE/UT,",,,,,,,SEATS,,,VOTES,% OF
NUMBER OF,PAR,TY,PARTY,,,,CONT- SE,ATS FD,IN P,OLLED,VOTES
CONSTITUENCIES,T,YPE,,,,,ESTED W,ON SE,ATS BY,PARTY,POLLED
MEGHALAYA,,2,,,,,,,,,
,,,,,,,,,,,
,,N,CPI,,,,2,0,2,14725,3.69%
,,,,,,,,,,,
,,N,INC,,,,2,2,0,249266,62.42%
,,,,,,,,,,,
,,Z,IND,,,,4,0,2,135373,33.90%
,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,8,2,4,399364,
,,,,,,,,,,,
NAGALAND,,1,,,,,,,,,
,,,,,,,,,,,
,,N,INC,,,,1,1,0,251101,64.64%
,,,,,,,,,,,
,,S,NND,,,,1,0,0,113919,29.33%
,,,,,,,,,,,
,,Z,IND,,,,1,0,1,23444,6.04%
,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,3,1,1,388464,
,,,,,,,,,,,
ORISSA,,21,,,,,,,,,
,,,,,,,,,,,
,,N,BJP,,,,4,0,4,96462,1.18%
,,,,,,,,,,,
,,N,CPI,,,,1,0,0,121734,1.49%
,,,,,,,,,,,
,,N,CPM,,,,1,0,0,147862,1.81%
,,,,,,,,,,,
,,N,INC,,,,21,20,0,4692933,57.46%
,,,,,,,,,,,
,,N,JNP,,,,19,1,0,2612101,31.98%
,,,,,,,,,,,
,,N,LKD,,,,5,0,5,83974,1.03%
,,,,,,,,,,,
,,U,JKD,,,,2,0,2,18837,0.23%
,,,,,,,,,,,
,,Z,IND,,,,61,0,61,393004,4.81%
,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,114,21,72,8166907,
,,,,,,,,,,,
RAJASTHAN,,25,,,,,,,,,
,,,,,,,,,,,
,,N,BJP,,,,24,0,6,2650381,23.69%
,,,,,,,,,,,
,,N,CPI,,,,1,0,1,37260,0.33%
,,,,,,,,,,,
,,N,CPM,,,,1,0,1,20138,0.18%
,,,,,,,,,,,
,,N,ICS,,,,3,0,3,7094,0.06%
,,,,,,,,,,,
,,N,INC,,,,25,25,0,5898116,52.72%
"ELECTIONS - INDIA, 1",984,,,,,,VOT,ES,POLLED IN ST,ATES BY,PARTIES
,,,,,,,,,,,
"STATE/UT,",,,,,,,SEATS,,,VOTES,% OF
NUMBER OF,PAR,TY,PARTY,,,,CONT- SE,ATS,FD IN P,OLLED,VOTES
CONSTITUENCIES,T,YPE,,,,,ESTED W,ON,SEATS BY,PARTY,POLLED
,,,,,,,,,,,
1,,2,3,,,,4,5,6,7,8
,,,,,,,,,,,
RAJASTHAN,,25,,,,,,,,,
,,,,,,,,,,,
,,N,JNP,,,,15,0,13,432700,3.87%
,,,,,,,,,,,
,,N,LKD,,,,16,0,7,1256261,11.23%
,,,,,,,,,,,
,,S,ICJ,,,,6,0,6,124206,1.11%
,,,,,,,,,,,
,,Z,IND,,,,222,0,221,762101,6.81%
,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,313,25,258,11188257,
,,,,,,,,,,,
SIKKIM,,1,,,,,,,,,
,,,,,,,,,,,
,,N,CPI,,,,1,0,1,843,1.02%
,,,,,,,,,,,
,,N,INC,,,,1,0,0,21327,25.81%
,,,,,,,,,,,
,,N,JNP,,,,1,0,1,604,0.73%
,,,,,,,,,,,
,,Z,IND,,,,5,1,4,59872,72.44%
,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,8,1,6,82646,
,,,,,,,,,,,
TAMIL NADU,,39,,,,,,,,,
,,,,,,,,,,,
,,N,BJP,,,,1,0,1,15462,0.07%
,,,,,,,,,,,
,,N,CPI,,,,3,0,0,738106,3.41%
,,,,,,,,,,,
,,N,CPM,,,,3,0,0,614893,2.84%
,,,,,,,,,,,
,,N,INC,,,,26,25,0,8755871,40.51%
,,,,,,,,,,,
,,N,JNP,,,,5,0,0,911931,4.22%
,,,,,,,,,,,
,,S,ADK,,,,12,12,0,3968967,18.36%
,,,,,,,,,,,
,,S,DMK,,,,27,2,0,5597507,25.90%
,,,,,,,,,,,
,,S,ICJ,,,,6,0,6,56704,0.26%
,,,,,,,,,,,
,,U,GKC,,,,1,0,0,217104,1.00%
,,,,,,,,,,,
,,U,TNC,,,,1,0,0,144076,0.67%
,,,,,,,,,,,
,,Z,IND,,,,129,0,129,593382,2.75%
,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,214,39,136,21614003,
,,,,,,,,,,,
TRIPURA,,2,,,,,,,,,
,,,,,,,,,,,
,,N,BJP,,,,1,0,1,7070,0.77%
