Election,Commission,of,India,- General Elections,", 1989(9th LOK",SABHA),,,,,
,,,,,,,,,,,
VOTES P,OLLE,,D I,N STAT,ES BY,PART,IES,,,,
,,,,,,,,,,,
"STATE/UT,",,,,,SEATS,,,VOTES,% OF,,
NUMBER OF P,ARTY P,A,RTY,,CONT- SE,ATS FD,IN P,OLLED,VOTES,,
CONSTITUENCIES,TYPE,,,,ESTED W,ON SEA,TS BY,PARTY,POLLED,,
,,,,,,,,,,,
,U,GPI,2,0,2,2142,0.01%,,,,
,,,,,,,,,,,
,U,HJP,3,0,3,1361,0.00%,,,,
,,,,,,,,,,,
,U,HPI,3,0,3,2750,0.01%,,,,
,,,,,,,,,,,
,U,NRP,1,0,1,839,0.00%,,,,
,,,,,,,,,,,
,U,RPI,3,0,3,39117,0.14%,,,,
,,,,,,,,,,,
,U,RPK,8,0,8,205956,0.75%,,,,
,,,,,,,,,,,
,U,RPP,1,0,1,2791,0.01%,,,,
,,,,,,,,,,,
,U,SHP,1,0,1,2747,0.01%,,,,
,,,,,,,,,,,
,U,SHS,3,1,1,339426,1.23%,,,,
,,,,,,,,,,,
,U,VBP,1,0,1,621,0.00%,,,,
,,,,,,,,,,,
,Z,IND,352,3,345,2266560,8.23%,,,,
,,,,,,,,,,,
"State/UT total (Contestants, Seats","Won, F","D in Seats, Valid Votes) :",593,48,487,27549090,,,,,
,,,,,,,,,,,
MANIPUR,2,,,,,,,,,,
,,,,,,,,,,,
,N,BJP,1,0,1,19559,2.27%,,,,
,,,,,,,,,,,
,N,CPI,1,0,1,48531,5.64%,,,,
,,,,,,,,,,,
,N,ICS(SCS),1,0,1,31530,3.66%,,,,
,,,,,,,,,,,
,N,INC,2,2,0,387829,45.04%,,,,
,,,,,,,,,,,
,N,JD,2,0,2,12804,1.49%,,,,
,,,,,,,,,,,
,S,KNA,1,0,0,108085,12.55%,,,,
"ELECTIONS - INDIA, 1",989,,,,,,VOT,ES,POLLED IN ST,ATES BY,PARTIES
,,,,,,,,,,,
"STATE/UT,",,,,,,,SEATS,,,VOTES,% OF
NUMBER OF,PAR,TY,PARTY,,,,CONT- SE,ATS,FD IN P,OLLED,VOTES
CONSTITUENCIES,T,YPE,,,,,ESTED W,ON,SEATS BY,PARTY,POLLED
,,,,,,,,,,,
1,,2,3,,,,4,5,6,7,8
,,,,,,,,,,,
MANIPUR,,2,,,,,,,,,
,,,,,,,,,,,
,,S,MRP,,,,1,0,0,147128,17.09%
,,,,,,,,,,,
,,U,MPC,,,,1,0,1,677,0.08%
,,,,,,,,,,,
,,Z,IND,,,,3,0,2,104982,12.19%
,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,13,2,8,861125,
,,,,,,,,,,,
MEGHALAYA,,2,,,,,,,,,
,,,,,,,,,,,
,,N,CPI,,,,2,0,2,22867,4.79%
,,,,,,,,,,,
,,N,INC,,,,2,2,0,264210,55.38%
,,,,,,,,,,,
,,Z,IND,,,,2,0,0,190047,39.83%
,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,6,2,2,477124,
,,,,,,,,,,,
MIZORAM,,1,,,,,,,,,
,,,,,,,,,,,
,,N,INC,,,,1,1,0,109571,48.45%
,,,,,,,,,,,
,,S,MNF,,,,1,0,0,70749,31.28%
,,,,,,,,,,,
,,U,DP,,,,1,0,0,43667,19.31%
,,,,,,,,,,,
,,Z,IND,,,,1,0,1,2159,0.95%
,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,4,1,1,226146,
,,,,,,,,,,,
NAGALAND,,1,,,,,,,,,
,,,,,,,,,,,
,,N,INC,,,,1,1,0,363071,60.29%
,,,,,,,,,,,
,,S,NPC,,,,1,0,0,239124,39.71%
,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,2,1,0,602195,
,,,,,,,,,,,
ORISSA,,21,,,,,,,,,
,,,,,,,,,,,
,,N,BJP,,,,6,0,6,143559,1.28%
,,,,,,,,,,,
,,N,CPI,,,,1,1,0,408057,3.65%
,,,,,,,,,,,
,,N,CPM,,,,1,1,0,332005,2.97%
,,,,,,,,,,,
,,N,INC,,,,21,3,0,4298516,38.41%
,,,,,,,,,,,
,,N,JD,,,,19,16,0,5535531,49.47%
,,,,,,,,,,,
,,N,JNP (JP),,,,13,0,13,135302,1.21%
,,,,,,,,,,,
,,U,BSP,,,,4,0,4,15388,0.14%
,,,,,,,,,,,
,,U,DDP,,,,6,0,6,13815,0.12%
,,,,,,,,,,,
,,U,DLP,,,,1,0,1,2646,0.02%
,,,,,,,,,,,
,,U,JKD,,,,3,0,3,51256,0.46%
,,,,,,,,,,,
,,U,KGP,,,,3,0,3,17678,0.16%
,,,,,,,,,,,
,,U,OPF,,,,2,0,2,2682,0.02%
,,,,,,,,,,,
,,Z,IND,,,,52,0,52,234337,2.09%
,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,132,21,90,11190772,
,,,,,,,,,,,
PUNJAB,,13,,,,,,,,,
,,,,,,,,,,,
,,N,BJP,,,,3,0,0,331290,4.17%
,,,,,,,,,,,
,,N,CPI,,,,4,0,4,166562,2.10%
,,,,,,,,,,,
,,N,CPM,,,,3,0,1,310134,3.90%
,,,,,,,,,,,
,,N,ICS(SCS),,,,1,0,1,968,0.01%
"ELECTIONS - INDIA, 1989",,,VOT,ES,POLLED IN ST,ATES BY,PARTIES,,,,
,,,,,,,,,,,
"STATE/UT,",,,SEATS,,,VOTES,% OF,,,,
NUMBER OF PAR,TY,PARTY,CONT- SE,ATS,FD IN P,OLLED,VOTES,,,,
CONSTITUENCIES T,YPE,,ESTED W,ON,SEATS BY,PARTY,POLLED,,,,
,,,,,,,,,,,
1,2,3,4,5,6,7,8,,,,
,,,,,,,,,,,
